Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Understanding and Using Linear Programming;;Jiri Matousek|Bernd Gärtner;Springer Science & Business Media;2007-07-04;9783540307174;3540307176;226;Mathematics;BOOK;en;http://books.google.com/books/content?id=6MO_RS4z0w8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;1903.81;ARS;1332.67;ARS
Object-Oriented Programming and Java;;Danny Poo|Derek Kiong|Swarnalatha Ashok;Springer Science & Business Media;2007-09-27;9781846289620;1846289629;322;Computers;BOOK;en;http://books.google.com/books/content?id=KjyzGJdnd3gC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
Linear and Integer Programming;Theory and Practice, Second Edition;Gerard Sierksma;CRC Press;2001-11-01;9780824706739;0824706730;656;Mathematics;BOOK;en;http://books.google.com/books/content?id=jP6H4xrTBkUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
SIMD Programming Manual for Linux and Windows;;Paul Cockshott|W. Paul Cockshott|Kenneth Renfrew;Springer Science & Business Media;2004-05-18;9781852337940;185233794X;351;Computers;BOOK;en;http://books.google.com/books/content?id=seM-MxAcM8MC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Concurrent and Real-Time Programming in Ada;;Alan Burns|Andy Wellings;Cambridge University Press;2007-07-05;9781139464352;1139464353;0;Computers;BOOK;en;http://books.google.com/books/content?id=iilIj3JXNrAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
Integer Programming and Network Models;;H.A. Eiselt|Carl-Louis Sandblom;Springer Science & Business Media;2000-08-15;9783540671916;3540671919;504;Business & Economics;BOOK;en;http://books.google.com/books/content?id=vnSy4-enytQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Programming Languages: Principles and Paradigms;;Maurizio Gabbrielli|Simone Martini;Springer Science & Business Media;2010-03-23;9781848829145;1848829140;440;Computers;BOOK;en;http://books.google.com/books/content?id=U-uBhJCRw3QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;1699.1;ARS;1189.37;ARS
Learning Programming Using MATLAB;;Khalid Sayood;Morgan & Claypool Publishers;2007;9781598291421;1598291424;81;Technology & Engineering;BOOK;en;http://books.google.com/books/content?id=xZSohEhMSg4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Erlang Programming;A Concurrent Approach to Software Development;Francesco Cesarini|Simon Thompson;"O'Reilly Media, Inc.";2009-06-11;9780596555856;0596555857;498;Computers;BOOK;en;http://books.google.com/books/content?id=Qr_WuvfTSpEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;5;941.75;ARS;659.22;ARS
Functional Programming and Its Applications;An Advanced Course;J. Darlington|P. Henderson|D. A. Turner;CUP Archive;1982-02-18;9780521245036;0521245036;306;Computers;BOOK;en;http://books.google.com/books/content?id=O_M8AAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
